client,deal,hour,accepted,refused
Funk and Shanahan @38,Quester #757,15-04-17 16:57,2,0
Funk and Shanahan @38,Quester #757,15-04-17 11:16,1,0
Veum @30,Hosp Plan #3487,15-04-17 4:07,3,0
Veum @30,Hosp Plan #3487,15-04-17 9:13,3,0
Veum @30,Cucaloo #2373,15-04-17 5:16,26,1
Veum @30,Cucaloo #2373,15-04-17 3:03,1,0
Veum @30,Cucaloo #2373,15-04-17 7:08,2,0
Veum @30,Cucaloo #2373,15-04-17 8:54,14,0
Veum @30,Cucaloo #2373,15-04-17 15:28,6,1
Veum @30,Cucaloo #2373,15-04-17 12:11,4,0
Veum @30,Diary #1355,15-04-17 1:48,9,0
Veum @30,Diary #1355,15-04-17 5:18,1,0
Veum @30,Diary #1355,15-04-16 21:09,2,0
Veum @30,Diary #1355,15-04-17 16:47,2,0
Veum @30,Diary #1355,15-04-17 1:07,1,0
Funk and Shanahan @38,Quester #757,15-04-17 13:14,2,0
Funk and Shanahan @38,Quester #757,15-04-17 13:51,2,0
Flyover @36,2Last #2768,15-04-16 20:57,0,0
Flyover @36,2Last #2768,15-04-17 18:41,1,0
Flyover @36,Woman #808,15-04-17 5:34,9,0
Flyover @36,Vouchers #126,15-04-17 20:32,1,0
Flyover @36,Vouchers #126,15-04-17 17:16,2,0
Flyover @36,Job #123,15-04-17 4:39,6,0
Veum @30,Hosp Plan #3487,15-04-17 11:09,4,0
Veum @30,Hosp Plan #3487,15-04-17 20:32,1,0
Veum @30,Hosp Plan #3487,15-04-17 17:45,1,0
Veum @30,Hosp Plan #3487,15-04-17 20:03,1,0
Veum @30,Cucaloo #2373,15-04-17 18:58,31,0
Veum @30,Cucaloo #2373,15-04-16 22:32,2,0
Veum @30,Cucaloo #2373,15-04-16 22:48,1,0
Veum @30,Cucaloo #2373,15-04-17 15:32,3,0
Veum @30,Cucaloo #2373,15-04-17 5:23,6,0
Veum @30,Cucaloo #2373,15-04-17 14:10,9,0
Veum @30,Cucaloo #2373,15-04-17 19:02,11,1
Veum @30,Diary #1355,15-04-17 18:23,23,1
Veum @30,Diary #1355,15-04-17 2:05,1,0
Veum @30,Diary #1355,15-04-17 20:13,1,0
Veum @30,Diary #1355,15-04-17 9:37,1,0
Veum @30,Diary #1355,15-04-17 6:57,4,0
Veum @30,Diary #1355,15-04-17 7:30,6,0
Veum @30,Diary #1355,15-04-17 4:25,12,0
Veum @30,Diary #1355,15-04-16 22:05,3,0
OneBridge @8,Mars Explorer #11,15-04-16 22:02,5,4
OneBridge @8,Mars Explorer #11,15-04-17 3:14,40,26
OneBridge @8,Mars Explorer #11,15-04-17 2:15,1,0
OneBridge @8,Mars Explorer #11,15-04-17 18:57,6,1
OneBridge @8,Mars Explorer #11,15-04-17 20:31,8,2
OneBridge @8,Mars Explorer #11,15-04-17 0:13,14,4
OneBridge @8,Mars Explorer #11,15-04-17 11:36,16,2
OneBridge @8,Mars Explorer #11,15-04-17 4:47,5,1
OneBridge @8,Mars Explorer #11,15-04-17 15:52,19,5
Medic Assistence @500,Doodleedoo +50 #3283,15-04-17 3:37,1,0
Funk and Shanahan @38,Quester #757,15-04-17 4:43,1,0
Veum @30,Hosp Plan #3487,15-04-17 11:05,4,0
Veum @30,Hosp Plan #3487,15-04-17 16:24,1,0
Veum @30,Hosp Plan #3487,15-04-17 5:15,1,0
Veum @30,Hosp Plan #3487,15-04-17 0:37,2,0
Veum @30,Hosp Plan #3487,15-04-17 5:49,1,0
Veum @30,Cares #2547,15-04-17 16:13,1,0
Veum @30,Cucaloo #2373,15-04-17 16:18,3,0
Veum @30,Cucaloo #2373,15-04-16 22:53,28,0
Veum @30,Cucaloo #2373,15-04-17 1:52,2,0
Veum @30,Cucaloo #2373,15-04-17 10:59,7,0
Veum @30,Cucaloo #2373,15-04-17 11:51,12,0
Veum @30,Cucaloo #2373,15-04-17 10:41,9,0
Veum @30,Cucaloo #2373,15-04-17 20:17,3,0
Veum @30,Diary #1355,15-04-17 14:55,23,0
Veum @30,Diary #1355,15-04-17 17:35,2,0
Veum @30,Diary #1355,15-04-17 8:52,4,0
Veum @30,Diary #1355,15-04-17 20:09,4,0
Veum @30,Diary #1355,15-04-17 4:03,11,0
Veum @30,Diary #1355,15-04-17 1:20,4,0
Funk and Shanahan @38,Quester #757,15-04-17 4:29,1,0
Veum @30,Hosp Plan #3487,15-04-17 7:21,1,0
Veum @30,Hosp Plan #3487,15-04-17 16:18,2,0
Veum @30,Hosp Plan #3487,15-04-16 21:10,1,0
Veum @30,Hosp Plan #3487,15-04-17 14:49,1,0
Veum @30,Cares #2547,15-04-17 16:12,1,0
Veum @30,Cucaloo #2373,15-04-17 6:40,22,1
Veum @30,Cucaloo #2373,15-04-17 17:53,1,0
Veum @30,Cucaloo #2373,15-04-16 21:56,6,0
Veum @30,Cucaloo #2373,15-04-17 9:10,4,0
Veum @30,Cucaloo #2373,15-04-17 12:59,16,0
Veum @30,Cucaloo #2373,15-04-17 15:01,7,1
Veum @30,Cucaloo #2373,15-04-17 1:38,3,0
Veum @30,Diary #1355,15-04-17 17:01,1,0
Veum @30,Diary #1355,15-04-17 1:54,13,0
Veum @30,Diary #1355,15-04-17 0:39,2,0
Veum @30,Diary #1355,15-04-16 23:00,4,0
Veum @30,Diary #1355,15-04-17 1:17,14,0
Veum @30,Diary #1355,15-04-17 11:58,14,0
Veum @30,Diary #1355,15-04-17 13:26,1,0
Funk and Shanahan @38,Quester #757,15-04-17 16:11,1,0
Funk and Shanahan @38,Quester #757,15-04-16 23:04,5,0
Funk and Shanahan @38,Viaver #250,15-04-17 8:30,1,0
Funk and Shanahan @38,Viaver #250,15-04-17 15:29,1,0
Funk and Shanahan @38,Viaver #250,15-04-17 8:26,25,5
Funk and Shanahan @38,Viaver #250,15-04-17 14:43,1,0
Funk and Shanahan @38,Viaver #250,15-04-17 18:32,13,1
Funk and Shanahan @38,Viaver #250,15-04-17 4:09,0,1
Funk and Shanahan @38,Viaver #250,15-04-17 13:26,1,0
Funk and Shanahan @38,Viaver #250,15-04-17 2:29,4,0
Funk and Shanahan @38,Viaver #250,15-04-17 15:15,3,0
Funk and Shanahan @38,Viaver #250,15-04-16 21:58,1,0
Funk and Shanahan @38,Viaver #250,15-04-17 7:32,1,0
Funk and Shanahan @38,Viaver #250,15-04-17 14:08,1,0
Funk and Shanahan @38,Viaver #250,15-04-17 19:40,16,1
Funk and Shanahan @38,Viaver #250,15-04-17 13:14,1,1
Funk and Shanahan @38,Viaver #250,15-04-17 15:08,2,0
Funk and Shanahan @38,Viaver #250,15-04-17 11:53,13,1
Funk and Shanahan @38,Viaver #250,15-04-17 6:28,5,0
Funk and Shanahan @38,Viaver #250,15-04-17 8:57,10,0
Flyover @36,2Last #2768,15-04-17 3:39,0,0
Flyover @36,2Last #2768,15-04-17 4:48,1,0
Flyover @36,Woman #808,15-04-17 7:35,4,0
Flyover @36,Cheap #713,15-04-17 13:48,1,0
Flyover @36,Vouchers #126,15-04-16 21:01,0,0
Flyover @36,Vouchers #126,15-04-17 5:33,0,0
Flyover @36,Job #123,15-04-16 23:08,3,0
Flyover @36,Cooking #121,15-04-17 3:38,1,0
Veum @30,Hosp Plan #3487,15-04-16 23:04,2,0
Veum @30,Hosp Plan #3487,15-04-17 16:29,1,0
Veum @30,Hosp Plan #3487,15-04-17 4:22,1,0
Veum @30,Hosp Plan #3487,15-04-17 1:39,2,0
Veum @30,Cucaloo #2373,15-04-17 6:14,3,0
Veum @30,Cucaloo #2373,15-04-17 9:11,23,0
Veum @30,Cucaloo #2373,15-04-17 12:14,2,0
Veum @30,Cucaloo #2373,15-04-17 10:06,1,0
Veum @30,Cucaloo #2373,15-04-16 22:21,3,0
Veum @30,Cucaloo #2373,15-04-17 9:13,6,1
Veum @30,Cucaloo #2373,15-04-17 19:04,17,0
Veum @30,Cucaloo #2373,15-04-17 15:20,2,0
Veum @30,Diary #1355,15-04-17 12:28,1,0
Veum @30,Diary #1355,15-04-17 17:31,18,0
Veum @30,Diary #1355,15-04-17 9:12,3,0
Veum @30,Diary #1355,15-04-17 14:28,2,0
Veum @30,Diary #1355,15-04-17 6:28,6,0
Veum @30,Diary #1355,15-04-17 13:07,6,0
Veum @30,Diary #1355,15-04-17 11:28,8,1
Veum @30,Diary #1355,15-04-17 19:36,3,0
OneBridge @8,Mars Explorer #11,15-04-17 16:46,4,1
